student_id,age,gender,study_hours_per_day,sleep_hours,social_media_hours,attendance_percentage,assignment_completion_rate,stress_level,burnout_level,exam_score
32,18,Male,5.8,8.9,5.7,55.6,81.9,1,Low,49.3
33,21,Female,6.1,8.4,0.2,86.2,77.8,3,Low,50.7
34,19,Female,6.4,8.5,5.5,69.3,96.5,2,Low,48.1
35,23,Female,2.5,7.3,3.7,53.7,87.7,1,Low,30.4
36,22,Female,4.4,5.7,4.8,90.6,73.4,5,Medium,41.8
37,21,Male,6.6,8.5,2.3,79.0,52.9,1,Low,57.2
38,18,Female,9.7,5.5,2.8,61.8,67.1,3,Low,61.0
39,18,Male,7.5,6.8,5.2,94.7,81.6,6,Medium,54.4
40,20,Male,9.3,4.5,2.5,52.3,90.3,6,Medium,54.4
41,20,Female,7.9,8.6,3.2,60.1,97.6,3,Low,54.2
42,24,Female,6.3,4.7,0.1,87.6,76.3,4,Low,58.4
43,19,Female,2.7,5.1,1.0,85.5,71.6,7,Medium,25.9
44,25,Female,7.0,6.8,3.9,64.5,41.1,6,Medium,45.6
45,21,Female,6.6,7.8,4.3,53.1,44.3,2,Low,44.3
46,21,Male,6.4,7.1,3.5,92.9,49.4,9,Medium,43.5
47,25,Female,5.4,5.2,0.9,65.7,43.3,6,Medium,36.6
48,24,Female,5.8,4.0,2.7,59.8,64.1,2,Low,40.7
49,23,Female,4.0,7.8,2.1,75.8,60.2,7,Medium,25.5
50,23,Male,5.7,8.9,3.0,95.5,78.2,10,Medium,40.4
51,24,Female,2.8,8.0,5.2,52.2,72.1,10,Medium,11.9
52,23,Male,8.2,6.3,4.7,88.3,75.8,4,Low,66.8
53,20,Female,2.7,8.5,0.5,78.6,68.3,1,Low,35.1
54,21,Female,1.8,6.0,5.3,71.3,56.7,10,Medium,5.4
55,24,Male,4.9,6.6,2.8,87.2,97.2,9,Medium,32.7
56,21,Female,6.9,6.4,4.5,98.3,45.2,10,Medium,47.8
57,25,Male,4.9,6.2,0.8,61.5,96.3,8,Medium,16.3
58,18,Male,3.5,7.9,4.0,57.2,58.7,5,Medium,24.6
59,20,Male,6.0,6.6,1.4,95.6,70.8,3,Low,56.0
60,22,Female,4.1,5.6,2.6,83.4,46.5,4,Low,38.7
61,20,Female,9.4,5.3,0.1,71.9,44.3,3,Low,60.8
62,24,Female,9.3,4.2,0.9,78.7,65.8,10,High,44.1
63,22,Male,5.5,6.9,0.6,87.3,84.5,8,Medium,37.6
64,18,Female,4.0,5.1,1.4,88.7,56.2,5,Medium,30.5
65,24,Male,7.6,4.7,0.6,96.0,73.7,8,High,54.2
66,19,Female,1.3,7.3,4.2,71.3,56.7,1,Low,26.2
67,21,Male,5.3,7.4,0.2,64.7,63.3,9,Medium,35.4
68,18,Male,4.0,7.8,3.7,82.0,94.4,10,Medium,14.8
69,21,Male,9.3,6.5,0.8,70.8,91.4,3,Low,60.0
70,23,Female,1.1,8.5,5.7,79.7,71.0,1,Low,31.1
71,19,Male,6.0,8.7,5.6,71.0,54.3,3,Low,51.0
72,19,Male,7.7,8.0,1.4,57.6,51.6,2,Low,55.6
73,18,Male,5.4,7.2,3.7,73.5,97.2,7,Medium,30.3
74,19,Male,1.8,5.5,0.2,84.5,52.2,10,High,11.9
75,22,Male,9.8,8.9,5.6,90.0,88.5,4,Low,56.8
76,19,Male,5.7,5.4,3.1,74.7,62.1,7,Medium,37.1
77,21,Female,6.5,5.0,0.3,58.3,99.1,3,Low,49.8
78,21,Female,3.1,6.2,2.1,70.7,62.1,6,Medium,24.7
79,24,Male,5.4,4.3,0.5,89.3,61.1,7,Medium,42.7
80,21,Female,4.9,8.9,2.4,70.6,78.2,7,Medium,34.4
81,24,Female,1.7,6.9,4.0,84.8,97.7,5,Medium,22.4
82,21,Male,2.0,6.8,2.8,75.4,98.6,6,Medium,8.5
83,22,Male,8.5,7.3,2.3,62.1,82.4,3,Low,61.8
84,25,Male,3.2,6.5,0.7,89.8,85.3,4,Low,37.1
85,24,Female,2.8,4.2,1.5,54.2,73.8,6,Medium,12.0
86,20,Male,5.5,7.1,0.6,76.2,85.3,3,Low,46.2
87,23,Female,7.9,7.6,4.8,60.4,91.6,7,Medium,44.6
88,18,Male,1.6,6.1,0.8,53.4,69.2,3,Low,24.6
89,21,Female,6.2,7.8,3.6,75.1,77.2,9,Medium,37.9
90,19,Male,2.1,5.1,2.1,75.0,72.2,4,Low,27.4
91,25,Male,1.3,5.1,1.4,85.3,73.7,2,Low,29.1
92,21,Female,1.5,4.8,3.8,87.2,93.4,6,Medium,17.8
93,19,Female,8.5,5.9,2.7,86.4,61.3,9,High,53.8
94,23,Female,2.1,8.2,2.4,70.5,52.5,10,Medium,11.5
95,23,Female,1.4,8.1,3.6,81.6,67.4,10,Medium,6.7
96,23,Female,4.9,5.9,2.9,78.8,52.5,2,Low,40.8
97,19,Female,8.6,6.9,1.8,71.1,69.9,4,Low,50.6
98,21,Male,3.4,7.6,3.4,79.9,94.2,5,Medium,36.3
99,23,Female,4.8,5.2,4.0,97.4,77.0,9,High,45.1
100,22,Male,1.4,4.8,0.2,59.6,91.3,7,Medium,16.7
101,24,Male,5.0,8.9,2.8,95.3,50.0,5,Medium,45.5
102,19,Female,6.2,7.1,0.3,52.7,94.1,6,Medium,34.5
103,19,Male,6.1,8.9,1.1,65.4,76.1,9,Medium,30.7
104,21,Female,4.0,5.7,3.4,64.4,41.9,4,Low,26.4
105,19,Female,3.8,7.5,5.2,81.3,78.0,2,Low,49.1
106,19,Male,2.0,5.1,5.3,56.6,97.1,5,Medium,11.8
107,23,Male,4.3,5.3,0.4,94.1,44.8,7,Medium,31.5
108,21,Female,1.9,6.6,2.5,91.4,74.9,4,Low,27.9
109,23,Female,7.9,5.6,3.5,82.6,94.9,1,Low,61.7
110,24,Male,9.7,4.8,0.9,72.9,40.6,8,High,57.4
111,25,Male,9.7,5.3,4.6,96.6,77.9,5,Medium,64.1
112,24,Male,8.8,4.2,4.5,91.5,68.5,10,High,41.5
113,25,Male,6.4,7.5,5.4,75.0,60.8,2,Low,49.3
114,23,Female,7.3,6.5,0.1,85.1,77.7,3,Low,55.2
115,24,Female,3.6,4.5,1.3,78.3,43.2,10,High,20.3
116,21,Female,6.7,4.9,5.0,79.4,85.2,10,High,36.0
117,18,Female,5.1,4.5,4.0,66.5,40.3,5,Medium,33.7
118,23,Male,5.3,7.1,5.4,73.1,58.4,4,Low,33.8
119,25,Male,7.8,4.5,0.3,53.9,70.2,9,High,44.5
120,22,Female,3.5,7.8,3.6,67.9,62.6,9,Medium,26.9
121,25,Female,3.9,4.1,3.4,84.8,58.4,8,High,35.9
122,22,Female,9.3,5.2,0.2,97.7,89.9,2,Low,65.9
123,19,Female,1.5,8.5,3.1,98.2,96.1,5,Medium,29.0
124,24,Female,5.4,7.6,3.7,77.8,92.4,8,Medium,32.2
125,22,Female,9.2,4.4,1.1,80.3,71.3,8,High,51.7
126,25,Female,6.5,8.1,1.6,59.3,93.0,7,Medium,31.6
127,19,Female,5.9,6.5,3.8,84.8,95.3,4,Low,59.8
128,18,Female,3.2,8.2,2.8,53.5,64.6,3,Low,24.8
129,21,Male,4.1,7.0,5.1,64.2,57.0,8,Medium,19.2
130,21,Female,8.7,7.4,2.1,83.4,45.9,8,Medium,53.2
131,21,Male,6.0,9.0,1.6,65.5,68.7,10,Medium,33.5
132,22,Male,5.6,5.2,5.9,52.5,96.8,5,Medium,33.0
133,18,Female,1.9,7.1,5.5,91.6,73.7,3,Low,32.2
134,22,Female,1.1,6.3,0.2,65.5,80.1,5,Medium,20.2
135,24,Male,9.7,4.2,4.6,53.2,46.8,4,Low,51.7
136,22,Male,4.4,4.1,0.7,53.7,48.6,8,High,23.0
137,18,Female,6.4,4.6,0.2,62.6,67.9,2,Low,43.6
138,18,Male,1.7,7.2,1.6,58.9,97.1,8,Medium,6.3
139,24,Female,7.1,6.8,1.6,88.7,61.6,10,Medium,50.9
140,18,Female,9.4,6.8,4.9,66.1,92.6,6,Medium,54.4
141,25,Female,6.2,4.2,4.3,90.2,47.2,4,Low,44.8
142,18,Male,2.1,6.3,5.9,58.7,77.0,3,Low,21.6
143,21,Male,6.2,8.6,4.3,74.6,76.0,10,Medium,27.3
144,25,Female,7.9,6.0,2.5,84.4,91.6,5,Medium,53.7
145,25,Male,4.7,7.1,4.2,82.6,40.2,6,Medium,32.9
146,24,Male,8.9,7.9,6.0,80.1,51.4,1,Low,69.1
147,20,Male,6.8,7.9,4.3,96.2,53.2,1,Low,70.5
148,20,Male,9.1,6.6,4.6,61.4,97.0,10,Medium,43.0
149,18,Male,6.6,8.3,5.6,74.7,49.2,3,Low,46.2
150,25,Male,2.2,6.0,0.7,94.2,42.2,2,Low,35.7
151,20,Male,3.8,8.4,4.2,53.9,72.1,1,Low,40.6
152,20,Female,2.8,5.2,5.1,52.8,71.7,8,High,16.4
153,18,Male,9.2,5.4,5.7,61.7,90.6,1,Low,61.8
154,20,Male,7.8,4.3,1.3,81.7,96.9,10,High,33.2
155,22,Male,7.1,8.0,3.0,63.0,72.3,8,Medium,38.1
156,19,Male,3.7,6.1,4.1,59.5,95.8,5,Medium,30.2
157,24,Male,2.7,5.1,1.5,72.9,83.5,4,Low,32.2
158,19,Male,7.8,5.2,3.6,80.7,55.9,8,High,53.8
159,18,Male,5.3,8.5,1.5,62.4,95.7,8,Medium,25.8
160,21,Male,3.0,8.2,2.0,65.0,80.0,8,Medium,16.5
161,24,Female,6.5,6.8,2.6,80.7,64.8,3,Low,50.1
162,18,Male,1.4,7.1,3.2,97.3,80.8,8,Medium,23.7
163,25,Male,3.9,6.4,2.7,83.7,64.1,1,Low,41.3
164,21,Male,5.2,6.0,3.0,89.1,46.9,4,Low,47.4
165,19,Male,2.3,8.6,1.8,68.3,83.1,5,Medium,20.1
166,18,Female,9.9,4.6,1.0,63.6,89.4,6,Medium,53.1
167,25,Female,2.9,6.1,0.3,72.7,83.7,5,Medium,31.9
168,24,Female,2.2,5.7,1.2,90.4,53.7,5,Medium,29.7
169,24,Female,2.8,6.5,3.5,72.8,97.4,5,Medium,29.6
170,23,Female,7.9,6.3,4.7,92.3,41.5,9,Medium,48.2
171,25,Female,4.8,6.6,1.0,99.4,60.0,10,Medium,37.8
172,22,Female,6.1,4.7,0.7,53.6,55.6,10,High,21.3
173,20,Female,1.2,6.6,4.5,52.3,42.9,3,Low,11.2
174,21,Female,1.3,5.2,1.8,57.5,64.3,2,Low,24.5
175,25,Female,5.0,4.9,5.7,69.2,77.4,10,High,25.4
176,23,Female,8.3,4.3,4.3,56.6,93.0,2,Low,53.2
177,20,Female,9.0,7.8,2.0,93.5,99.4,8,Medium,52.5
178,20,Female,1.8,6.1,1.7,51.2,88.5,5,Medium,18.4
179,18,Female,5.8,7.1,3.1,65.8,68.1,5,Medium,48.1
180,20,Female,9.2,7.6,0.5,59.2,83.4,6,Medium,54.8
181,22,Female,4.5,7.4,0.7,96.6,90.6,9,Medium,31.2
182,24,Male,8.5,6.4,1.1,83.5,67.9,7,Medium,60.5
183,23,Female,2.2,5.9,4.6,95.6,87.1,5,Medium,31.5
184,20,Male,9.4,5.9,3.1,98.6,69.0,5,Medium,64.4
185,18,Female,7.8,7.2,0.1,74.9,63.2,10,Medium,47.8
186,22,Female,9.5,6.5,4.0,61.7,71.6,9,Medium,47.1
187,19,Male,7.1,8.2,2.5,59.7,80.6,9,Medium,28.2
188,24,Female,4.3,8.4,3.1,61.1,83.6,2,Low,34.2
189,24,Male,9.4,4.9,1.3,85.4,61.4,7,Medium,61.3
190,23,Male,3.5,4.7,3.3,52.0,74.3,10,High,9.5
191,24,Male,4.0,7.2,5.9,52.6,94.6,1,Low,24.4
192,20,Female,7.3,5.5,0.4,80.4,98.6,4,Low,60.0
193,18,Female,7.9,4.1,1.7,82.1,53.6,2,Low,75.1
194,24,Female,9.4,8.4,1.5,83.3,51.6,10,Medium,49.6
195,24,Male,2.8,5.1,1.5,68.6,80.6,9,High,13.4
196,19,Male,8.2,8.6,2.3,90.3,64.9,6,Medium,49.4
197,19,Female,7.6,7.6,4.9,76.7,41.5,4,Low,48.9
198,21,Female,1.6,7.8,5.5,55.3,60.8,3,Low,11.0
199,22,Female,4.5,5.0,1.2,89.9,88.4,4,Low,34.9
200,20,Female,3.5,5.2,3.3,97.7,87.8,2,Low,42.8
201,24,Female,3.7,6.6,3.8,53.0,69.7,5,Medium,16.5
202,25,Male,9.8,4.9,3.1,69.6,68.4,9,High,44.5
203,24,Male,6.8,5.5,2.6,74.4,74.8,6,Medium,45.4
204,18,Male,7.5,5.6,1.2,57.3,53.2,2,Low,47.6
205,21,Female,9.8,4.8,2.9,93.4,71.6,6,Medium,66.8
206,22,Male,4.4,5.0,2.4,64.2,40.7,9,High,21.5
207,25,Male,8.2,7.9,4.8,89.2,68.5,4,Low,58.8
208,21,Male,4.9,4.8,4.6,83.5,60.2,1,Low,51.5
209,23,Male,8.8,4.1,0.8,79.9,80.5,2,Low,61.2
210,22,Male,2.6,7.1,0.5,59.6,78.3,5,Medium,24.4
211,24,Female,9.5,8.9,5.4,61.0,62.9,10,Medium,43.7
212,24,Male,3.0,5.7,3.2,52.4,40.4,7,Medium,12.6
213,22,Female,3.9,4.6,5.1,62.0,55.1,8,High,16.7
214,24,Female,7.8,6.9,0.3,67.3,78.0,3,Low,44.9
215,20,Female,4.5,8.5,3.2,91.7,44.3,9,Medium,25.8
216,22,Female,6.5,7.9,3.2,68.3,46.5,2,Low,40.1
217,21,Female,5.0,7.1,5.2,87.7,78.8,4,Low,38.3
218,22,Male,7.7,5.6,0.6,72.0,85.3,4,Low,56.2
219,25,Male,3.1,6.7,1.4,89.2,59.3,6,Medium,30.2
220,24,Female,1.5,4.5,2.4,98.8,69.4,10,High,15.2
221,20,Female,3.7,7.4,5.2,62.0,96.7,6,Medium,21.6
222,20,Female,5.3,7.6,5.6,93.1,96.7,3,Low,48.0
223,23,Male,2.5,8.8,6.0,81.1,58.5,9,Medium,19.0
224,21,Female,4.2,5.3,5.8,90.9,88.6,5,Medium,32.7
225,19,Male,4.6,4.1,0.0,82.6,75.6,2,Low,46.1
226,19,Female,1.5,6.7,0.3,71.2,98.5,6,Medium,15.2
227,22,Male,6.2,7.5,0.9,61.4,68.7,3,Low,44.9
228,23,Female,9.0,8.0,2.1,53.5,86.5,8,Medium,44.9
229,18,Male,2.4,5.0,5.0,76.8,86.1,3,Low,21.9
230,22,Female,6.4,5.3,5.4,99.5,69.8,5,Medium,58.4
231,23,Male,7.0,6.6,1.1,86.9,87.7,4,Low,53.0
232,21,Male,4.8,5.7,3.7,66.4,55.7,4,Low,34.1
233,21,Male,7.3,8.3,5.5,91.4,47.3,2,Low,62.8
234,21,Male,4.7,6.4,2.8,88.4,65.5,8,Medium,28.2
235,21,Male,5.5,8.0,0.6,64.1,96.6,3,Low,32.9
236,21,Male,1.1,6.9,2.7,50.7,70.0,4,Low,15.5
237,23,Male,7.2,7.9,2.3,55.9,78.1,6,Medium,46.5
238,23,Female,7.0,5.7,3.5,93.9,77.4,9,High,46.6
239,20,Female,1.3,8.2,2.6,91.8,48.0,4,Low,30.1
240,25,Female,4.3,5.4,0.1,64.8,63.4,3,Low,28.6
241,19,Female,9.8,6.7,6.0,64.3,82.4,5,Medium,56.5
242,24,Female,4.8,5.1,3.3,89.6,98.3,9,High,29.6
243,21,Male,5.5,6.4,2.8,96.9,50.1,1,Low,59.7
244,18,Male,9.2,5.6,5.7,89.0,64.6,5,Medium,65.2
245,24,Male,7.5,5.3,0.9,80.3,45.7,4,Low,58.7
246,23,Male,6.2,8.8,1.1,62.1,54.5,5,Medium,36.5
247,18,Male,8.2,4.8,4.8,76.3,62.6,7,Medium,44.2
248,18,Female,8.8,7.9,1.6,61.7,72.4,7,Medium,55.2
249,18,Female,5.1,8.9,4.8,90.4,53.8,7,Medium,38.8
250,20,Female,5.3,4.1,1.6,69.3,53.7,1,Low,50.6
251,23,Female,4.5,7.5,0.2,91.7,86.7,9,Medium,31.7
252,18,Male,9.7,5.3,3.1,69.1,97.8,7,Medium,66.2
253,21,Male,7.3,4.2,1.2,91.2,59.4,4,Low,61.7
254,22,Male,1.7,6.0,4.5,66.7,81.3,4,Low,19.7
255,18,Female,8.8,8.7,3.8,72.0,55.5,2,Low,61.7
256,20,Male,5.3,4.1,5.5,80.8,95.7,6,Medium,38.9
257,24,Female,1.6,6.9,4.7,53.5,80.4,10,Medium,-1.6
258,23,Male,5.9,6.5,1.1,97.4,88.2,3,Low,50.3
259,25,Male,4.8,8.4,4.8,78.7,43.0,1,Low,42.8
260,20,Female,8.9,4.4,3.9,75.4,75.9,5,Medium,58.3
261,18,Male,2.8,7.4,4.0,92.0,71.7,6,Medium,25.5
262,23,Male,8.4,7.4,5.0,93.3,57.6,5,Medium,59.2
263,22,Female,6.0,7.3,3.4,76.1,55.7,5,Medium,41.0
264,18,Male,1.5,8.7,2.8,96.4,74.8,10,Medium,16.8
265,20,Female,9.7,8.1,3.8,53.2,82.4,8,Medium,55.8
266,19,Male,5.6,4.2,1.8,55.7,42.0,10,High,30.2
267,21,Male,3.6,6.4,1.1,79.8,74.0,1,Low,33.4
268,25,Male,5.2,6.0,3.7,67.7,50.2,8,Medium,30.1
269,24,Male,8.7,5.6,1.4,73.2,48.4,7,Medium,49.9
270,20,Male,3.7,6.3,0.5,66.4,77.4,1,Low,33.2
271,23,Male,2.7,5.9,0.0,70.2,58.7,9,High,27.3
272,25,Male,2.2,6.2,3.6,91.1,66.5,4,Low,27.7
273,25,Male,3.7,8.9,2.2,79.7,61.6,7,Medium,26.1
274,25,Female,8.0,4.4,4.5,99.9,78.9,3,Low,72.7
275,18,Female,5.2,8.6,2.3,89.3,68.2,8,Medium,41.6
276,21,Male,3.0,6.4,2.9,63.7,97.8,4,Low,23.9
277,18,Male,2.5,7.1,2.4,63.2,61.1,2,Low,31.3
278,23,Female,4.0,8.2,3.9,66.8,84.4,2,Low,34.8
279,18,Male,9.5,5.8,2.1,92.2,55.4,8,High,58.3
280,19,Male,4.1,6.2,5.8,51.4,70.5,8,Medium,15.9
281,21,Female,9.9,6.0,5.6,61.5,73.2,1,Low,53.8
282,21,Male,5.4,5.9,5.1,95.2,59.7,6,Medium,36.4
283,23,Male,2.6,8.6,5.5,82.0,68.3,9,Medium,14.1
284,24,Female,9.0,8.1,2.7,61.3,56.8,9,Medium,47.5
285,19,Male,5.1,4.5,3.2,61.0,40.4,2,Low,40.6
286,20,Male,7.4,4.5,4.5,93.1,52.9,8,High,54.4
287,18,Female,9.9,6.1,4.2,94.7,82.0,8,Medium,55.9
288,22,Male,1.5,4.5,5.3,62.8,86.3,4,Low,27.3
289,18,Female,1.9,7.1,4.3,71.0,56.8,4,Low,31.3
290,25,Male,7.5,4.7,6.0,91.7,64.5,5,Medium,55.2
291,18,Male,3.5,6.6,2.1,88.6,42.2,10,Medium,20.6
292,20,Female,2.7,4.0,5.0,90.7,54.2,7,Medium,23.5
293,18,Female,1.4,5.6,4.2,75.9,86.8,1,Low,28.8
294,19,Male,1.2,7.4,4.1,95.6,76.4,9,Medium,26.1
295,19,Female,8.0,6.4,2.0,66.3,52.3,3,Low,53.4
296,21,Female,2.2,8.9,4.7,57.8,55.4,4,Low,12.4
297,23,Male,5.2,8.4,5.4,85.4,89.0,7,Medium,47.1
298,24,Male,6.5,5.8,1.3,77.0,52.5,5,Medium,43.6
299,22,Male,4.9,4.2,3.8,92.7,60.0,5,Medium,49.6
300,25,Female,1.2,8.2,2.4,54.1,79.9,1,Low,23.4
301,18,Female,8.1,8.6,5.9,92.2,73.7,2,Low,63.4
302,18,Female,1.1,8.1,2.9,64.7,67.7,5,Medium,19.7
303,20,Female,7.9,4.6,1.4,82.7,94.0,2,Low,56.6
304,23,Male,9.0,9.0,2.3,52.0,53.2,1,Low,57.1
305,19,Female,4.9,5.3,3.9,80.5,84.5,10,High,26.0
306,22,Male,5.8,7.6,0.5,85.9,49.5,3,Low,47.8
307,21,Female,5.3,8.5,3.6,68.4,76.9,1,Low,47.8
308,19,Male,4.5,5.2,5.6,60.8,92.2,10,High,23.4
309,25,Male,9.0,8.5,5.1,76.9,67.5,8,Medium,44.3
310,23,Male,9.0,5.5,0.4,91.7,83.5,8,High,53.8
311,25,Female,4.0,8.9,6.0,66.2,89.2,8,Medium,22.0
312,24,Male,6.5,5.4,4.2,62.6,48.2,7,Medium,40.2
313,21,Male,9.3,8.8,1.0,63.9,82.3,7,Medium,44.7
314,24,Female,9.7,4.3,0.1,97.5,95.2,2,Low,77.3
315,20,Male,5.6,7.5,1.0,68.0,74.6,9,Medium,24.8
316,25,Female,5.1,6.7,5.0,50.2,51.2,7,Medium,27.8
317,20,Female,3.5,6.4,0.1,89.1,47.6,5,Medium,39.8
318,18,Male,9.6,5.1,1.4,85.0,55.6,4,Low,59.4
319,24,Male,2.3,7.5,4.5,56.4,46.2,8,Medium,13.6
320,23,Female,6.2,5.0,3.5,99.2,70.8,5,Medium,49.8
321,25,Male,3.5,6.8,4.7,80.4,44.2,6,Medium,24.7
322,22,Female,3.5,5.3,4.5,75.0,53.4,4,Low,25.9
323,21,Female,4.6,8.8,0.3,69.1,66.4,2,Low,36.2
324,19,Female,10.0,4.1,5.4,94.9,68.4,7,Medium,60.4
325,23,Male,1.5,5.0,1.4,62.2,73.9,2,Low,21.1
326,23,Female,6.2,5.2,3.3,64.3,82.3,7,Medium,34.2
327,20,Male,1.7,6.1,3.9,56.1,42.8,7,Medium,13.4
328,24,Male,2.4,5.2,1.0,88.0,44.8,1,Low,40.4
329,25,Male,5.0,6.5,5.9,79.8,43.7,10,Medium,21.3
330,25,Male,5.6,8.4,2.9,80.5,65.4,10,Medium,30.9
331,18,Female,3.3,7.6,0.3,60.9,42.5,3,Low,24.0
332,18,Male,3.8,6.9,5.6,82.6,84.8,3,Low,32.4
333,21,Female,1.8,4.4,3.5,88.3,53.4,6,Medium,15.6
334,20,Female,3.7,7.5,4.2,67.9,96.4,3,Low,24.7
335,23,Male,9.7,4.8,3.2,90.1,69.2,9,High,54.9
336,25,Female,9.5,7.9,5.0,67.4,66.8,5,Medium,59.7
337,22,Female,4.0,5.3,0.2,87.9,86.8,6,Medium,36.3
338,20,Male,6.1,6.1,1.6,51.7,82.8,6,Medium,28.7
339,21,Female,9.2,5.8,2.8,77.6,76.4,8,High,47.5
340,21,Female,1.1,8.3,0.5,98.5,96.1,10,Medium,16.2
341,20,Female,8.3,4.6,4.2,99.1,65.3,3,Low,63.1
342,21,Female,9.5,6.8,2.4,64.1,88.5,9,Medium,53.2
343,20,Male,1.8,4.7,1.6,72.1,62.8,7,Medium,11.1
344,19,Female,2.5,7.5,0.0,53.1,90.3,6,Medium,7.1
345,20,Female,9.6,8.5,4.3,93.7,55.6,1,Low,77.2
346,24,Female,5.8,6.2,5.0,78.4,57.4,4,Low,35.1
347,20,Female,1.1,6.4,2.4,69.3,80.7,5,Medium,9.1
348,21,Male,3.3,8.6,3.4,55.6,52.8,2,Low,25.8
349,25,Female,5.0,6.6,1.4,97.3,53.7,1,Low,50.8
350,24,Male,7.2,6.4,3.7,76.5,58.3,2,Low,58.0
351,21,Female,7.6,6.9,0.1,64.1,80.7,8,Medium,36.2
352,18,Male,10.0,7.4,2.9,67.5,93.4,10,Medium,56.8
353,18,Male,3.6,4.5,3.9,63.5,80.5,6,Medium,17.5
354,25,Male,5.8,8.1,5.5,80.1,89.7,10,Medium,31.2
355,25,Male,5.8,6.2,2.3,96.5,72.6,2,Low,58.1
356,24,Male,4.7,4.4,4.6,92.8,44.1,9,High,37.8
357,19,Female,2.5,7.9,3.6,73.0,46.0,8,Medium,3.6
358,25,Female,9.8,5.9,5.6,91.3,73.3,4,Low,81.9
359,18,Female,8.7,4.5,2.4,71.2,59.7,10,High,43.2
360,20,Male,5.5,7.2,1.9,62.6,53.2,7,Medium,33.7
361,21,Female,6.4,8.4,5.3,99.2,68.0,3,Low,54.1
362,18,Male,3.0,8.4,0.3,65.2,80.0,6,Medium,33.2
363,18,Male,5.9,8.8,0.8,66.2,63.1,3,Low,49.8
364,19,Female,7.3,8.3,0.5,99.5,88.2,10,Medium,56.9
365,24,Female,5.6,4.0,5.1,56.7,84.3,3,Low,41.4
366,24,Male,9.9,5.9,0.1,88.0,84.1,9,High,62.5
367,23,Male,6.5,8.1,5.2,96.8,99.1,6,Medium,44.3
368,19,Female,4.3,5.8,2.7,75.6,57.7,8,High,26.9
369,20,Female,7.9,7.0,0.0,50.1,78.7,4,Low,51.1
370,24,Female,2.5,7.0,2.4,68.8,91.3,4,Low,26.7
371,21,Female,4.5,5.8,1.1,55.6,74.8,8,High,23.7
372,25,Male,4.1,8.5,3.7,70.8,87.4,7,Medium,23.9
373,19,Female,4.9,6.5,4.1,89.5,64.9,5,Medium,47.2
374,25,Female,8.0,6.3,2.9,71.9,75.4,2,Low,63.3
375,18,Female,5.4,9.0,0.2,71.6,43.3,6,Medium,41.7
376,21,Male,8.1,6.5,3.9,77.8,99.1,1,Low,63.3
377,21,Male,6.2,4.9,5.1,79.1,88.0,7,Medium,40.8
378,18,Male,4.1,6.6,4.3,92.8,92.1,9,Medium,36.0
379,19,Male,8.3,8.1,5.0,65.4,81.7,5,Medium,55.8
380,18,Female,3.1,7.9,1.2,91.1,51.2,5,Medium,28.4
381,25,Male,3.0,7.9,5.3,78.3,41.9,7,Medium,26.1
